sex,occ,sex_sp,occ_sp,total
1,335,2,112,500
1,335,2,121,200
1,335,2,122,100
1,335,2,132,100
1,335,2,134,100
1,335,2,141,100
1,335,2,142,100
1,335,2,231,100
1,335,2,311,100
1,335,2,312,100
1,335,2,313,200
1,335,2,315,100
1,335,2,332,100
1,335,2,334,500
1,335,2,335,1400
1,335,2,411,200
1,335,2,431,100
1,335,2,441,100
1,335,2,511,100
1,335,2,522,300
1,335,2,541,400
1,335,2,751,100
1,335,2,832,200
1,335,2,833,300
1,335,2,933,200
1,335,2,2000,100
1,335,2,3000,100
1,335,2,5000,100
1,335,2,6000,100
1,341,2,21,200
1,341,2,31,100
1,341,2,112,300
1,341,2,121,100
1,341,2,132,100
1,341,2,142,200
1,341,2,143,100
1,341,2,261,200
1,341,2,334,400
1,341,2,335,100
1,341,2,341,200
1,341,2,411,200
1,341,2,431,100
1,341,2,522,100
1,341,2,524,100
1,341,2,541,500
1,341,2,622,100
1,341,2,711,100
1,341,2,741,100
1,341,2,832,100
1,341,2,3000,100
1,341,2,6000,700
1,342,2,31,100
1,342,2,112,100
1,342,2,132,100
1,342,2,133,100
1,342,2,141,100
1,342,2,143,200
1,342,2,265,100
1,342,2,311,100
1,342,2,315,200
1,342,2,331,200
1,342,2,335,100
1,342,2,351,200
1,342,2,522,100
1,342,2,622,100
1,342,2,962,100
1,343,2,31,100
1,343,2,111,100
1,343,2,121,200
1,343,2,133,100
1,343,2,141,300
1,343,2,142,100
1,343,2,143,100
1,343,2,230,100
1,343,2,261,100
1,343,2,312,100
1,343,2,331,100
1,343,2,341,100
1,343,2,343,100
1,343,2,411,400
1,343,2,511,100
1,343,2,541,300
1,343,2,622,200
1,343,2,711,100
1,343,2,832,100
1,343,2,3000,200
1,343,2,6000,200
1,351,2,31,200
1,351,2,111,200
1,351,2,121,100
1,351,2,122,100
1,351,2,312,100
1,351,2,351,100
1,351,2,411,100
1,351,2,432,100
1,351,2,751,100
1,351,2,6000,300
1,352,2,142,300
1,352,2,233,100
1,352,2,334,100
1,352,2,713,200
1,352,2,5000,100
1,411,2,21,1700
1,411,2,31,2400
1,411,2,111,1700
1,411,2,112,4800
1,411,2,121,1500
1,411,2,122,700
1,411,2,132,900
1,411,2,134,1300
1,411,2,141,300
1,411,2,142,2600
1,411,2,143,600
1,411,2,211,200
1,411,2,214,500
1,411,2,216,400
1,411,2,221,100
1,411,2,230,700
1,411,2,231,100
1,411,2,233,300
1,411,2,234,300
1,411,2,241,200
1,411,2,242,100
1,411,2,243,100
1,411,2,251,100
1,411,2,261,400
1,411,2,263,500
1,411,2,264,300
1,411,2,265,300
1,411,2,311,1800
1,411,2,312,900
1,411,2,313,1100
1,411,2,315,1100
1,411,2,321,100
1,411,2,325,100
1,411,2,331,800
1,411,2,332,500
1,411,2,334,3200
1,411,2,335,2500
1,411,2,341,400
1,411,2,342,200
1,411,2,343,500
1,411,2,351,1100
1,411,2,352,300
1,411,2,411,5300
1,411,2,412,200
1,411,2,413,100
1,411,2,421,400
1,411,2,422,200
1,411,2,431,600
1,411,2,432,800
1,411,2,441,100
1,411,2,511,300
1,411,2,512,100
1,411,2,513,300
1,411,2,514,100
1,411,2,515,200
1,411,2,522,800
1,411,2,523,100
1,411,2,524,400
1,411,2,541,5500
1,411,2,611,400
1,411,2,612,100
1,411,2,622,1900
1,411,2,711,1400
1,411,2,712,200
1,411,2,721,200
1,411,2,731,100
1,411,2,732,100
1,411,2,741,300
1,411,2,742,100
1,411,2,751,200
1,411,2,753,100
1,411,2,832,2200
1,411,2,833,500
1,411,2,835,400
1,411,2,911,1600
1,411,2,931,200
1,411,2,933,600
1,411,2,2000,300
1,411,2,3000,800
1,411,2,4000,300
1,411,2,5000,1100
1,411,2,6000,6600
1,411,2,9000,200
1,411,2,9999,100
1,412,2,21,300
1,412,2,112,300
1,412,2,230,100
1,412,2,335,100
